,HOURLYVISIBILITY,HOURLYWindSpeed,HOURLYPrecip,HOURLYRelativeHumidity,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYStationPressure,HOURLYSeaLevelPressure,HOURLYAltimeterSetting,HOURLYWindDirectionSin,HOURLYWindDirectionCos,HOURLYPressureTendencyIncr,HOURLYPressureTendencyDecr,HOURLYPressureTendencyCons,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
5888,10.0,18.0,0.0,70.0,58.0,53.0,48.0,29.88,29.91,29.9,0.642788,-0.766044,0,1,0,2013,5,15,1254,-6,1404,-6,US,N748UW,2175,LGA,DCA,40,214,12,54
5889,10.0,10.0,0.0,54.0,35.0,30.0,20.0,30.23,30.25,30.25,-0.939693,-0.34202,0,1,0,2013,11,14,637,-2,957,-5,UA,N596UA,398,JFK,LAX,332,2475,6,37
5890,10.0,13.0,0.0,58.0,30.0,26.0,17.0,29.79,29.81,29.81,-0.866025,0.5,0,1,0,2013,2,3,1726,-4,1912,-11,US,N604AW,449,EWR,CLT,84,529,17,26
5891,10.0,17.0,0.0,58.0,59.0,51.0,44.0,30.37,30.4,30.39,0.766044,0.642788,1,0,0,2013,10,9,950,-10,1136,16,US,N769US,2175,LGA,DCA,45,214,9,50
5892,10.0,18.0,0.0,37.0,80.0,63.0,51.0,29.97,29.99,29.99,-0.5,0.866025,1,0,0,2013,9,5,1250,-3,1516,-38,UA,N16713,1426,LGA,IAH,190,1416,12,50
5893,10.0,11.0,0.0,79.0,42.0,39.0,36.0,29.93,29.95,29.95,0.173648,-0.984808,0,1,0,2013,2,15,1805,20,2122,2,AA,N335AA,177,JFK,SFO,338,2586,18,5
5894,10.0,7.0,0.0,45.0,40.0,33.0,20.0,30.33,30.35,30.35,-0.766044,-0.642788,1,0,0,2013,11,26,1021,16,1211,-3,DL,N302NB,2319,LGA,MSP,154,1020,10,21
5895,10.0,10.0,0.0,40.0,78.0,63.0,52.0,30.06,30.09,30.08,-0.984808,0.173648,1,0,0,2013,7,29,2125,11,2339,-19,UA,N37263,1740,EWR,IAH,173,1400,21,25
5896,10.0,9.0,0.0,30.0,60.0,46.0,29.0,30.18,30.2,30.2,-0.939693,0.34202,1,0,0,2013,10,28,1615,-5,1909,-26,AA,N3JKAA,172,EWR,MIA,147,1085,16,15
5897,10.0,15.0,0.0,51.0,42.0,35.0,25.0,30.3,30.32,30.32,-0.642788,0.766044,0,1,0,2013,12,7,1420,3,1658,-10,UA,N73299,1109,EWR,MCO,140,937,14,20
5898,9.0,10.0,0.0,93.0,46.0,45.0,44.0,30.07,30.09,30.09,0.34202,-0.939693,0,1,0,2013,1,13,1625,25,1852,12,DL,N674DL,847,LGA,ATL,118,762,16,25
5899,10.0,11.0,0.0,51.0,40.0,34.0,23.0,29.9,29.93,29.92,-0.866025,0.5,1,0,0,2013,3,27,721,-2,1011,-12,UA,N71411,1591,EWR,IAH,209,1400,7,21
5900,10.0,14.0,0.0,61.0,68.0,60.0,54.0,30.12,30.14,30.14,0.766044,-0.642788,0,1,0,2013,6,6,1017,-3,1203,-13,9E,N922XJ,3341,EWR,DTW,82,488,10,17
5901,10.0,7.0,0.0,50.0,34.0,28.0,17.0,30.29,30.32,30.31,-0.984808,-0.173648,1,0,0,2013,12,13,2217,118,104,79,UA,N33264,1224,EWR,LAX,326,2454,22,17
5902,10.0,22.0,0.0,69.0,75.0,68.0,64.0,29.93,29.95,29.95,-0.173648,-0.984808,0,1,0,2013,6,1,1636,-8,1902,-40,UA,N486UA,810,EWR,PBI,131,1023,16,36
5903,8.0,6.0,0.0,52.0,51.0,43.0,34.0,29.91,29.93,29.93,-0.939693,-0.34202,1,0,0,2013,12,3,1215,-4,1412,-4,EV,N31131,3806,EWR,DAY,93,533,12,15
5904,10.0,11.0,0.0,70.0,60.0,55.0,50.0,30.33,30.35,30.35,0.984808,-0.173648,0,1,0,2013,10,13,1721,-9,1837,-10,B6,N193JB,1516,JFK,SYR,41,209,17,21
5905,8.0,8.0,0.0,88.0,75.0,72.0,71.0,29.95,29.97,29.97,-0.173648,-0.984808,1,0,0,2013,7,10,835,-9,1047,-17,EV,N14105,4364,EWR,MCI,160,1092,8,35
5906,10.0,16.0,0.0,48.0,48.0,40.0,29.0,29.91,29.93,29.93,-1.0,-1.84e-16,1,0,0,2013,10,24,1056,-3,1245,-9,MQ,N724MQ,3281,LGA,CMH,81,479,10,56
5907,10.0,22.0,0.0,42.0,31.0,25.0,10.0,30.06,30.08,30.08,-0.766044,0.642788,1,0,0,2013,2,9,1613,8,1800,8,9E,N907XJ,3459,JFK,BNA,119,765,16,13
5908,10.0,14.0,0.0,69.0,80.0,73.0,69.0,29.88,29.91,29.9,-0.173648,-0.984808,0,1,0,2013,8,30,1620,0,1850,-45,DL,N388DA,706,JFK,AUS,190,1521,16,20
5909,10.0,20.0,0.0,33.0,50.0,39.0,22.0,30.04,30.06,30.06,-0.766044,0.642788,0,1,0,2013,11,8,1548,5,1754,2,EV,N11193,4667,EWR,MSP,164,1008,15,48
5910,10.0,14.0,0.0,25.0,34.0,25.0,2.0,30.18,30.2,30.2,-0.866025,0.5,0,1,0,2013,2,18,1417,6,1636,-8,FL,N966AT,349,LGA,ATL,119,762,14,17
5911,9.0,13.0,0.0,78.0,35.0,33.0,29.0,29.92,29.94,29.94,-0.984808,0.173648,1,0,0,2013,12,10,1619,34,1939,34,AA,N3FAAA,1156,LGA,DFW,226,1389,16,19
5912,10.0,20.0,0.0,21.0,81.0,58.0,38.0,29.93,29.95,29.95,-0.984808,0.173648,0,1,0,2013,4,9,1353,-7,1445,-28,US,N762US,2177,LGA,DCA,37,214,13,53
5913,10.0,14.0,0.0,52.0,76.0,65.0,57.0,30.04,30.06,30.06,-0.173648,-0.984808,0,1,0,2013,8,11,1605,-5,1835,25,EV,N748EV,5461,LGA,RDU,67,431,16,5
5914,10.0,13.0,0.0,31.0,61.0,47.0,30.0,29.96,29.98,29.98,-0.939693,0.34202,1,0,0,2013,10,20,1729,-1,2052,-12,DL,N722TW,434,JFK,SFO,335,2586,17,29
5915,0.5,0.0,0.0,100.0,58.0,58.0,58.0,30.09,30.11,30.11,0.0,1.0,0,1,0,2013,5,20,620,-10,841,-25,B6,N505JB,389,LGA,MCO,121,950,6,20
5916,10.0,9.0,0.0,54.0,62.0,53.0,45.0,30.31,30.33,30.33,0.866025,0.5,0,1,0,2013,10,9,1758,-1,1940,-20,DL,N322NB,1321,EWR,MSP,133,1008,17,58
5917,10.0,5.0,0.0,47.0,78.0,65.0,56.0,30.13,30.15,30.15,0.996195,-0.0871557,0,1,0,2013,7,31,1059,-1,1316,-16,UA,N76529,1740,EWR,IAH,182,1400,10,59
5918,10.0,5.0,0.0,62.0,41.0,36.0,29.0,30.62,30.64,30.64,1.0,6.12e-17,1,0,0,2013,4,22,30,105,131,90,B6,N236JB,608,JFK,PWM,44,273,0,30
5919,10.0,10.0,0.0,71.0,42.0,38.0,33.0,30.38,30.4,30.4,-0.866025,-0.5,1,0,0,2013,1,8,2039,-1,2338,-7,B6,N334JB,629,JFK,HOU,214,1428,20,39
5920,8.0,7.0,0.0,90.0,69.0,67.0,66.0,30.1,30.12,30.12,-0.642788,-0.766044,0,1,0,2013,5,30,640,-5,830,-42,UA,N405UA,599,EWR,DEN,208,1605,6,40
5921,8.0,11.0,0.01,85.0,35.0,33.0,31.0,29.87,29.9,29.89,-0.984808,0.173648,0,1,0,2013,12,10,1439,-5,1616,11,B6,N296JB,286,JFK,ROC,57,264,14,39
5922,10.0,11.0,0.0,41.0,48.0,39.0,25.0,30.13,30.15,30.15,-0.173648,-0.984808,0,1,0,2013,11,9,1608,-7,1856,-19,AA,N3GKAA,65,JFK,DFW,202,1391,16,8
5923,10.0,11.0,0.0,55.0,85.0,73.0,67.0,30.05,30.07,30.07,1.22e-16,-1.0,1,0,0,2013,7,9,1258,13,1517,-13,WN,N232WN,3316,EWR,HOU,177,1411,12,58
5924,10.0,9.0,0.0,46.0,84.0,69.0,61.0,30.0,30.03,30.02,-0.173648,-0.984808,0,1,0,2013,7,29,1456,1,1700,-15,DL,N318NB,127,JFK,DTW,78,509,14,56
5925,6.0,8.0,0.03,93.0,58.0,57.0,56.0,30.14,30.16,30.16,0.939693,-0.34202,0,1,0,2013,5,28,1936,7,2231,23,UA,N13248,1041,EWR,PHX,284,2133,19,36
5926,7.0,5.0,0.0,85.0,77.0,74.0,72.0,29.77,29.8,29.79,0.866025,0.5,1,0,0,2013,9,2,823,-2,928,-7,AA,N3GXAA,1838,JFK,BOS,44,187,8,23
5927,10.0,24.0,0.0,33.0,45.0,35.0,17.0,29.86,29.88,29.88,-0.984808,0.173648,0,1,0,2013,3,23,1156,-4,1315,1,EV,N15983,4229,EWR,BUF,53,282,11,56
5928,10.0,8.0,0.0,46.0,46.0,38.0,26.0,29.77,29.8,29.79,-2.45e-16,1.0,1,0,0,2013,3,26,1817,2,2005,-31,9E,N926XJ,3470,JFK,DTW,78,509,18,17
5929,10.0,5.0,0.0,46.0,46.0,38.0,26.0,30.34,30.36,30.36,0.939693,0.34202,1,0,0,2013,4,15,724,-4,837,-7,B6,N585JB,44,JFK,SYR,45,209,7,24
5930,10.0,16.0,0.0,53.0,81.0,69.0,62.0,29.87,29.89,29.89,1.22e-16,-1.0,0,1,0,2013,8,2,1506,7,1747,1,B6,N247JB,581,JFK,HOU,189,1428,15,6
5931,10.0,14.0,0.0,50.0,74.0,62.0,54.0,29.98,30.01,30.0,-0.766044,0.642788,1,0,0,2013,9,4,902,-8,1027,-28,AA,N584AA,313,LGA,ORD,106,733,9,2
5932,10.0,13.0,0.0,45.0,80.0,66.0,57.0,29.82,29.84,29.84,-0.173648,0.984808,1,0,0,2013,7,24,1916,16,2230,4,DL,N3751B,2007,JFK,PDX,332,2454,19,16
5933,10.0,0.0,0.0,45.0,40.0,33.0,20.0,29.87,29.9,29.89,0.0,1.0,0,1,0,2013,2,13,1056,-4,1412,-13,UA,N532UA,642,JFK,SFO,347,2586,10,56
5934,10.0,10.0,0.0,57.0,71.0,62.0,55.0,30.27,30.29,30.29,-0.5,-0.866025,1,0,0,2013,6,20,1026,-7,1152,-17,EV,N27200,4662,EWR,RDU,66,416,10,26
5935,10.0,20.0,0.0,40.0,44.0,35.0,21.0,30.02,30.04,30.04,-0.34202,0.939693,1,0,0,2013,11,23,1025,-5,1401,21,AA,N332AA,19,JFK,LAX,374,2475,10,25
5936,10.0,17.0,0.0,54.0,45.0,38.0,29.0,29.76,29.78,29.78,-0.642788,-0.766044,0,1,0,2013,1,20,928,0,1040,-11,B6,N564JB,4,JFK,BUF,57,301,9,28
5937,10.0,8.0,0.0,87.0,73.0,70.0,69.0,29.82,29.84,29.84,-0.5,-0.866025,1,0,0,2013,6,26,2345,180,49,170,B6,N187JB,2680,EWR,BOS,37,200,23,45
5938,10.0,8.0,0.0,88.0,74.0,71.0,70.0,30.1,30.12,30.12,1.22e-16,-1.0,1,0,0,2013,9,10,2213,18,2314,7,UA,N811UA,455,EWR,BOS,43,200,22,13
5939,10.0,17.0,0.0,79.0,71.0,67.0,64.0,30.14,30.16,30.16,-0.5,-0.866025,0,1,0,2013,9,10,550,-10,828,-28,B6,N630JB,601,JFK,FLL,134,1069,5,50
5940,10.0,7.0,0.0,69.0,53.0,48.0,43.0,30.3,30.32,30.32,1.22e-16,-1.0,1,0,0,2013,4,28,741,-4,1018,-35,UA,N38403,1701,EWR,FLL,140,1065,7,41
5941,10.0,10.0,0.0,50.0,39.0,33.0,22.0,29.7,29.72,29.72,-0.766044,0.642788,0,1,0,2013,3,2,1421,31,1608,23,MQ,N531MQ,4577,LGA,CLT,90,544,14,21
5942,6.0,7.0,0.0,91.0,72.0,70.0,69.0,29.93,29.95,29.95,-0.173648,-0.984808,0,1,0,2013,9,12,605,-3,728,-9,UA,N35407,1622,EWR,ORD,117,719,6,5
5943,9.0,13.0,0.0,90.0,73.0,71.0,70.0,29.98,30.0,30.0,1.22e-16,-1.0,0,1,0,2013,7,1,1652,82,1753,63,WN,N7735A,216,EWR,MDW,104,711,16,52
5944,10.0,3.0,0.0,60.0,38.0,33.0,25.0,29.72,29.74,29.74,0.766044,0.642788,0,1,0,2013,2,13,1725,-4,2032,-14,DL,N3733Z,1185,EWR,SLC,279,1969,17,25
5945,4.0,8.0,0.0,92.0,33.0,32.0,31.0,30.13,30.15,30.15,-0.939693,-0.34202,0,1,0,2013,1,6,655,-5,1012,-33,DL,N712TW,1865,JFK,SFO,353,2586,6,55
5946,10.0,10.0,0.0,58.0,33.0,29.0,20.0,30.4,30.43,30.42,-0.642788,-0.766044,0,1,0,2013,1,28,910,78,1208,70,UA,N552UA,451,EWR,IAH,193,1400,9,10
5947,10.0,18.0,0.0,80.0,50.0,47.0,44.0,29.88,29.9,29.9,-0.766044,0.642788,1,0,0,2013,5,24,1950,100,2117,77,MQ,N532MQ,4626,LGA,CMH,71,479,19,50
5948,10.0,5.0,0.0,78.0,65.0,61.0,58.0,29.97,29.99,29.99,0.984808,-0.173648,0,1,0,2013,10,16,1445,-1,1718,1,EV,N16183,4141,EWR,ATL,110,746,14,45
5949,10.0,13.0,0.0,65.0,85.0,76.0,72.0,30.03,30.06,30.05,-0.5,-0.866025,0,1,0,2013,6,24,1106,-9,1240,-25,MQ,N713MQ,3281,LGA,CMH,74,479,11,6
5950,10.0,10.0,0.0,41.0,80.0,64.0,54.0,29.99,30.01,30.01,-0.173648,0.984808,1,0,0,2013,8,10,2057,5,35,-9,UA,N53442,195,EWR,SJU,195,1608,20,57
5951,10.0,11.0,0.0,56.0,44.0,38.0,29.0,30.2,30.22,30.22,-0.984808,-0.173648,0,1,0,2013,10,26,856,-4,958,-27,US,N947UW,2173,LGA,DCA,45,214,8,56
5952,10.0,10.0,0.0,56.0,58.0,50.0,42.0,30.36,30.38,30.38,-0.34202,-0.939693,0,1,0,2013,5,2,1703,-6,2001,-38,UA,N596UA,512,JFK,SFO,328,2586,17,3
5953,6.0,7.0,0.0,93.0,44.0,43.0,42.0,29.7,29.72,29.72,-0.984808,-0.173648,1,0,0,2013,4,1,657,-3,1011,-16,DL,N690DL,1415,JFK,SLC,286,1990,6,57
5954,5.0,7.0,0.0,90.0,65.0,63.0,62.0,30.05,30.07,30.07,0.5,0.866025,1,0,0,2013,10,5,641,-4,908,-30,B6,N623JB,525,JFK,TPA,129,1005,6,41
5955,10.0,11.0,0.0,41.0,63.0,51.0,39.0,30.2,30.22,30.22,0.34202,0.939693,1,0,0,2013,4,17,1157,-3,1454,-11,AA,N329AA,3,JFK,LAX,337,2475,11,57
5956,10.0,7.0,0.0,74.0,82.0,76.0,73.0,29.56,29.58,29.58,-0.766044,-0.642788,0,1,0,2013,7,23,1809,160,2105,145,UA,N75433,1151,EWR,SEA,316,2402,18,9
5957,10.0,7.0,0.0,19.0,45.0,33.0,5.0,30.54,30.56,30.56,0.766044,0.642788,1,0,0,2013,11,20,1556,-4,1739,-16,MQ,N616MQ,2793,JFK,CMH,78,483,15,56
5958,6.0,7.0,0.0,94.0,76.0,75.0,74.0,30.24,30.27,30.26,-0.766044,-0.642788,1,0,0,2013,7,4,751,-1,1031,-10,B6,N318JB,163,JFK,SRQ,146,1041,7,51
5959,3.0,13.0,0.0,93.0,45.0,44.0,43.0,30.09,30.11,30.11,0.173648,0.984808,1,0,0,2013,1,12,753,-6,923,14,EV,N15983,4696,EWR,MHT,58,209,7,53
5960,10.0,9.0,0.0,43.0,76.0,62.0,52.0,30.09,30.11,30.11,-0.34202,-0.939693,0,1,0,2013,8,11,1245,-3,1355,-30,EV,N398CA,5601,LGA,RIC,50,292,12,45
5961,10.0,11.0,0.0,41.0,32.0,26.0,11.0,30.1,30.12,30.12,-0.866025,0.5,1,0,0,2013,1,2,1835,10,1942,2,WN,N461WN,2450,EWR,BWI,36,169,18,35
5962,10.0,20.0,0.0,41.0,50.0,41.0,27.0,30.16,30.18,30.18,-0.5,0.866025,1,0,0,2013,4,25,831,-4,1216,-19,DL,N3755D,301,JFK,SJU,185,1598,8,31
5963,10.0,15.0,0.0,38.0,82.0,65.0,54.0,29.93,29.95,29.95,-1.0,-1.84e-16,0,1,0,2013,9,4,1702,-8,1822,-13,MQ,N856MQ,3365,JFK,DCA,52,213,17,2
5964,10.0,28.0,0.0,57.0,54.0,47.0,39.0,29.91,29.94,29.93,-0.642788,0.766044,1,0,0,2013,5,25,1634,5,1910,-19,B6,N523JB,9,JFK,MCO,117,944,16,34
5965,10.0,14.0,0.0,74.0,82.0,76.0,73.0,30.05,30.07,30.07,-0.866025,-0.5,1,0,0,2013,7,7,23,187,206,162,EV,N13978,4700,EWR,CLT,85,529,0,23
5966,10.0,3.0,0.0,60.0,38.0,33.0,25.0,29.72,29.74,29.74,0.766044,0.642788,0,1,0,2013,2,13,1706,-4,1844,-15,EV,N15912,4202,EWR,STL,137,872,17,6
5967,10.0,15.0,0.0,57.0,73.0,63.0,57.0,29.97,29.99,29.99,-1.0,-1.84e-16,1,0,0,2013,9,5,826,-4,1053,-29,UA,N37468,1117,EWR,MCO,125,937,8,26
5968,10.0,14.0,0.0,44.0,38.0,31.0,18.0,29.87,29.89,29.89,-0.939693,0.34202,1,0,0,2013,3,23,842,-3,1215,-35,AA,N5BRAA,1357,JFK,SJU,187,1598,8,42
5969,10.0,10.0,0.0,33.0,78.0,61.0,47.0,30.15,30.17,30.17,-0.34202,-0.939693,0,0,1,2013,8,16,1426,9,1801,68,UA,N87531,112,EWR,IAH,189,1400,14,26
5970,8.0,9.0,0.0,85.0,79.0,76.0,74.0,30.24,30.26,30.26,0.642788,-0.766044,1,0,0,2013,7,13,1820,177,1942,155,9E,N8501F,4101,JFK,ROC,47,264,18,20
5971,10.0,9.0,0.0,38.0,49.0,39.0,24.0,30.15,30.17,30.17,-0.766044,-0.642788,0,1,0,2013,11,9,1535,-9,1718,-32,US,N758US,2088,LGA,CLT,86,544,15,35
5972,10.0,3.0,0.0,63.0,66.0,59.0,53.0,29.82,29.84,29.84,0.984808,-0.173648,1,0,0,2013,6,12,2354,-5,320,-25,B6,N592JB,701,JFK,SJU,189,1598,23,54
5973,10.0,18.0,0.0,51.0,44.0,37.0,27.0,30.28,30.3,30.3,-0.34202,0.939693,1,0,0,2013,11,3,1832,2,2024,-11,US,N551UW,425,JFK,CLT,81,541,18,32
5974,10.0,5.0,0.0,50.0,48.0,40.0,30.0,30.36,30.38,30.38,0.939693,0.34202,1,0,0,2013,10,29,2024,-6,2222,-29,EV,N615QX,5209,LGA,CHS,88,641,20,24
5975,10.0,11.0,0.0,42.0,77.0,62.0,52.0,30.14,30.16,30.16,1.22e-16,-1.0,0,1,0,2013,8,16,1657,-2,1849,-16,9E,N8747B,3932,EWR,CVG,89,569,16,57
5976,10.0,9.0,0.0,34.0,52.0,41.0,24.0,30.17,30.19,30.19,0.5,0.866025,1,0,0,2013,4,14,2026,64,11,67,UA,N78506,148,EWR,SFO,373,2565,20,26
5977,10.0,22.0,0.0,19.0,47.0,34.0,7.0,30.09,30.11,30.11,-0.939693,0.34202,0,1,0,2013,4,3,1542,-3,1829,5,DL,N3765,95,JFK,ATL,125,760,15,42
5978,10.0,17.0,0.0,70.0,84.0,76.0,73.0,30.26,30.28,30.28,-0.173648,-0.984808,0,1,0,2013,7,14,1511,-9,1630,-35,AA,N4WNAA,2223,LGA,STL,114,888,15,11
5979,10.0,0.0,0.0,72.0,79.0,72.0,69.0,29.84,29.86,29.86,0.0,1.0,0,1,0,2013,8,28,1654,-1,1816,2,EV,N11535,4113,EWR,RIC,55,277,16,54
5980,0.5,17.0,0.0,97.0,49.0,48.0,48.0,29.89,29.91,29.91,1.22e-16,-1.0,0,1,0,2013,4,24,2051,6,46,53,B6,N317JB,629,JFK,HOU,241,1428,20,51
5981,10.0,9.0,0.0,54.0,77.0,66.0,59.0,30.23,30.25,30.25,-0.173648,-0.984808,0,1,0,2013,8,17,1507,72,1658,43,EV,N14977,4160,EWR,TVC,92,644,15,7
5982,10.0,17.0,0.0,79.0,78.0,73.0,71.0,30.12,30.14,30.14,1.22e-16,-1.0,0,1,0,2013,7,2,1515,-6,1711,-27,UA,N540UA,745,LGA,DEN,209,1620,15,15
5983,10.0,16.0,0.0,81.0,56.0,53.0,50.0,30.2,30.22,30.22,1.22e-16,-1.0,0,1,0,2013,11,6,1824,29,2135,21,DL,N318NB,1211,LGA,RSW,162,1080,18,24
5984,10.0,9.0,0.0,76.0,69.0,64.0,61.0,30.25,30.27,30.27,-0.173648,-0.984808,0,1,0,2013,6,22,954,-5,1202,-5,EV,N13955,4495,EWR,SAV,108,708,9,54
5985,8.0,10.0,0.0,89.0,37.0,36.0,34.0,29.91,29.93,29.93,-0.939693,-0.34202,1,0,0,2013,1,16,1847,17,2217,29,UA,N87507,1165,EWR,LAX,352,2454,18,47
5986,10.0,7.0,0.0,74.0,43.0,40.0,35.0,30.0,30.02,30.02,-0.5,-0.866025,0,1,0,2013,12,20,1834,9,2053,-15,DL,N3748Y,406,JFK,ATL,116,760,18,34
5987,10.0,9.0,0.0,56.0,47.0,41.0,32.0,30.07,30.09,30.09,-0.866025,-0.5,0,1,0,2013,12,1,1505,-5,1843,-2,AA,N5FFAA,145,JFK,MIA,181,1089,15,5
5988,10.0,8.0,0.0,37.0,54.0,43.0,28.0,30.31,30.34,30.33,0.984808,-0.173648,1,0,0,2013,4,30,1949,-1,2312,-28,B6,N656JB,645,JFK,SFO,341,2586,19,49
5989,10.0,21.0,0.0,73.0,39.0,36.0,31.0,29.88,29.9,29.9,0.866025,0.5,0,1,0,2013,3,6,710,0,1000,-35,VX,N624VA,399,JFK,LAX,317,2475,7,10
5990,10.0,13.0,0.0,57.0,68.0,59.0,52.0,29.78,29.81,29.8,-0.34202,-0.939693,0,1,0,2013,6,14,1609,-6,1835,5,EV,N15973,4294,EWR,SAV,100,708,16,9
5991,10.0,16.0,0.0,44.0,49.0,40.0,28.0,30.0,30.03,30.02,-0.939693,0.34202,1,0,0,2013,5,13,655,-5,800,-8,US,N714US,2163,LGA,DCA,48,214,6,55
5992,10.0,11.0,0.0,43.0,73.0,60.0,49.0,30.05,30.07,30.07,-0.173648,-0.984808,0,1,0,2013,10,3,1513,-2,1724,0,EV,N11165,4181,EWR,MCI,159,1092,15,13
5993,10.0,8.0,0.0,84.0,62.0,59.0,57.0,30.05,30.07,30.07,0.939693,-0.34202,1,0,0,2013,5,8,1022,7,1327,75,US,N716UW,1427,JFK,CLT,103,541,10,22
5994,10.0,22.0,0.0,24.0,62.0,46.0,25.0,30.28,30.3,30.3,0.866025,-0.5,0,1,0,2013,4,30,1339,-6,1526,33,9E,N8891A,3638,JFK,PHL,36,94,13,39
5995,10.0,15.0,0.0,64.0,70.0,62.0,57.0,30.09,30.11,30.11,-0.34202,-0.939693,1,0,0,2013,8,15,1937,7,2143,-13,9E,N917XJ,3285,JFK,MSY,167,1182,19,37
5996,10.0,24.0,0.0,61.0,53.0,47.0,40.0,29.93,29.95,29.95,-0.766044,0.642788,1,0,0,2013,5,25,1755,29,2033,19,UA,N37470,1678,EWR,IAH,188,1400,17,55
5997,10.0,18.0,0.0,62.0,41.0,36.0,29.0,29.65,29.67,29.67,-0.984808,0.173648,1,0,0,2013,12,15,1531,-4,1645,-11,US,N760US,2048,LGA,PHL,45,96,15,31
5998,10.0,14.0,0.0,51.0,42.0,35.0,25.0,30.05,30.07,30.07,-0.642788,0.766044,1,0,0,2013,1,17,1139,-1,1454,4,DL,N364NB,930,LGA,FLL,172,1076,11,39
5999,10.0,15.0,0.0,35.0,52.0,41.0,25.0,30.04,30.06,30.06,-0.766044,-0.642788,0,1,0,2013,3,29,1557,-3,1910,-15,AA,N3AFAA,1467,LGA,MIA,157,1096,15,57
6000,10.0,17.0,0.0,56.0,32.0,27.0,18.0,30.17,30.19,30.19,-1.0,-1.84e-16,1,0,0,2013,12,31,1958,13,2149,19,MQ,N802MQ,3374,JFK,RDU,75,427,19,58
6001,10.0,10.0,0.0,40.0,78.0,63.0,52.0,30.06,30.09,30.08,-0.984808,0.173648,1,0,0,2013,7,29,2142,27,2357,8,DL,N3743H,1729,JFK,LAS,281,2248,21,42
6002,10.0,22.0,0.0,33.0,56.0,44.0,27.0,30.05,30.07,30.07,-0.939693,0.34202,1,0,0,2013,4,14,1223,23,1323,13,EV,N18556,4179,EWR,BTV,47,266,12,23
6003,9.0,0.0,0.0,49.0,31.0,26.0,14.0,29.89,29.91,29.91,0.0,1.0,0,1,0,2013,1,21,1708,9,1811,-11,UA,N466UA,531,EWR,BOS,42,200,17,8
6004,10.0,8.0,0.0,49.0,15.0,12.0,-1.0,30.15,30.17,30.17,-2.45e-16,1.0,0,1,0,2013,1,24,623,-8,725,-16,B6,N638JB,1002,JFK,BOS,35,187,6,23
6005,10.0,8.0,0.0,81.0,71.0,67.0,65.0,30.01,30.03,30.03,-0.642788,-0.766044,1,0,0,2013,8,30,810,-5,952,-3,EV,N615QX,4918,LGA,RIC,55,292,8,10
6006,10.0,16.0,0.0,35.0,55.0,43.0,28.0,30.03,30.05,30.05,-0.984808,-0.173648,1,0,0,2013,5,13,1015,-5,1201,-15,9E,N922XJ,3341,EWR,DTW,84,488,10,15
6007,10.0,11.0,0.0,82.0,36.0,34.0,31.0,30.28,30.3,30.3,-0.173648,0.984808,1,0,0,2013,1,15,753,-7,923,6,US,N770UW,2165,LGA,DCA,61,214,7,53
6008,10.0,7.0,0.01,80.0,54.0,51.0,48.0,30.21,30.23,30.23,0.939693,-0.34202,0,1,0,2013,4,29,1459,-1,1617,-21,UA,N843UA,314,LGA,ORD,111,733,14,59
6009,6.0,8.0,0.0,82.0,78.0,74.0,72.0,30.11,30.13,30.13,-0.866025,-0.5,1,0,0,2013,9,11,809,-6,1013,-29,DL,N695DL,1429,JFK,LAS,280,2248,8,9
6010,10.0,16.0,0.0,68.0,68.0,62.0,57.0,30.03,30.05,30.05,0.766044,0.642788,0,1,0,2013,10,11,1725,110,1901,94,UA,N839UA,494,LGA,CLE,66,419,17,25
6011,10.0,18.0,0.0,48.0,34.0,28.0,16.0,30.5,30.52,30.52,0.173648,0.984808,1,0,0,2013,11,20,848,-12,1211,-24,UA,N555UA,504,JFK,SFO,361,2586,8,48
6012,10.0,8.0,0.0,65.0,62.0,55.0,50.0,29.81,29.83,29.83,1.22e-16,-1.0,0,1,0,2013,10,19,1623,-7,1915,-25,AA,N324AA,181,JFK,LAX,329,2475,16,23
6013,10.0,20.0,0.0,21.0,44.0,32.0,6.0,29.96,29.98,29.98,-1.0,-1.84e-16,0,1,0,2013,4,2,1653,-7,1801,-20,US,N765US,2183,LGA,DCA,46,214,16,53
6014,10.0,7.0,0.0,78.0,65.0,61.0,58.0,30.06,30.08,30.08,-0.984808,0.173648,1,0,0,2013,9,16,754,-6,909,-9,US,N712US,2171,LGA,DCA,50,214,7,54
6015,10.0,22.0,0.0,35.0,53.0,42.0,26.0,30.03,30.05,30.05,-0.939693,0.34202,1,0,0,2013,5,13,956,-4,1423,-37,HA,N384HA,51,JFK,HNL,608,4983,9,56
6016,10.0,3.0,0.0,70.0,69.0,63.0,59.0,30.13,30.15,30.15,0.939693,0.34202,1,0,0,2013,8,18,2123,24,2305,-2,EV,N730EV,5254,LGA,DSM,135,1031,21,23
6017,10.0,13.0,0.0,71.0,73.0,67.0,63.0,30.19,30.21,30.21,-0.766044,-0.642788,1,0,0,2013,6,23,809,-6,947,-21,US,N128UW,876,EWR,CLT,76,529,8,9
